"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=equus"
"Access Time","Thu 2017-02-02 21:29:11 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0472"
"Records Found","1631"
"Records Returned","1631"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"193214","occ","","","19652","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","Irvingtonian","4.9","0.3","6199"
"193227","occ","","","19653","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6199"
"193247","occ","","","19654","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6199"
"193259","occ","8460","","19655","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2617"
"193275","occ","","","19656","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1584"
"193294","occ","","","19657","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1584"
"193295","occ","","","19657","Equus cf. scotti","species","46305","","Equus scotti","species","46305","Blancan","","4.9","1.8","1584"
"193330","occ","","","19658","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1584"
"193354","occ","","","19663","Equus occidentalis","species","46294","subjective synonym of","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2018"
"193357","occ","8485","","19664","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6294"
"193363","occ","8488","","19665","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6294"
"193370","occ","8492","","19667","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6294"
"193371","occ","8493","","19668","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6294"
"193382","occ","","","19670","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","3372"
"193384","occ","8497","","19672","cf. Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193395","occ","","","19673","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2590"
"193399","occ","","","19674","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","Pleistocene","4.9","0.0117","3372"
"193408","occ","8503","","19680","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193410","occ","8504","","19682","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193414","occ","8505","","19685","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193432","occ","8513","","19702","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193441","occ","","","19703","Equus sp.","genus","42996","","Equus","genus","42996","Piacenzian","","3.6","2.588","1360"
"193452","occ","","","19704","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","1993"
"193462","occ","8518","","19705","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6294"
