"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=plantae&cc=EUR,NOA&show=acconly"
"Access Time","Mon 2017-03-13 02:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","plantae"
"","cc","EUR,NOA"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.63"
"Records Found","37803"
"Records Returned","37803"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"135187","occ","","F","11268","Leiotriletes","genus","252471","Late Pennsylvanian","","306.95","298.9","4147"
"135189","occ","","F","11268","Verrucosisporites","genus","264495","Late Pennsylvanian","","306.95","298.9","4147"
"135191","occ","","","11268","Calamospora","genus","278073","Late Pennsylvanian","","306.95","298.9","4147"
"135192","occ","","F","11268","Laevigatosporites","genus","250523","Late Pennsylvanian","","306.95","298.9","4147"
"135193","occ","","F","11268","Laevigatosporites vulgaris","species","252493","Late Pennsylvanian","","306.95","298.9","4147"
"135198","occ","","","11270","Lycospora","genus","277985","Late Pennsylvanian","","306.95","298.9","4147"
"135199","occ","","","11270","Lycospora","genus","277985","Late Pennsylvanian","","306.95","298.9","4147"
"135200","occ","","","11270","Lycospora","genus","277985","Late Pennsylvanian","","306.95","298.9","4147"
"135201","occ","","","11270","Lycospora","genus","277985","Late Pennsylvanian","","306.95","298.9","4147"
"135202","occ","","","11270","Lycospora","genus","277985","Late Pennsylvanian","","306.95","298.9","4147"
"135208","occ","","F","11270","Laevigatosporites","genus","250523","Late Pennsylvanian","","306.95","298.9","4147"
"135210","occ","","F","11270","Leiotriletes","genus","252471","Late Pennsylvanian","","306.95","298.9","4147"
"135211","occ","","","11270","Calamospora","genus","278073","Late Pennsylvanian","","306.95","298.9","4147"
"135212","occ","","F","11270","Laevigatosporites","genus","250523","Late Pennsylvanian","","306.95","298.9","4147"
"135213","occ","","F","11270","Laevigatosporites vulgaris","species","252493","Late Pennsylvanian","","306.95","298.9","4147"
"135215","occ","","","11306","Cyclogranisporites","genus","261034","Virgilian","","303.4","298.9","4159"
"135216","occ","","F","11306","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135217","occ","","F","11306","Apiculatisporites","genus","286068","Virgilian","","303.4","298.9","4159"
"135233","occ","","","11306","Tracheophyta","superphylum","55150","Virgilian","","303.4","298.9","4159"
"135239","occ","","F","11307","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135240","occ","","F","11307","Apiculatisporites","genus","286068","Virgilian","","303.4","298.9","4159"
"135242","occ","","","11307","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135266","occ","","F","11308","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135267","occ","","F","11308","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135268","occ","","F","11308","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135269","occ","","F","11308","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135270","occ","","F","11308","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135286","occ","","F","11309","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135287","occ","","F","11309","Apiculatisporites","genus","286068","Virgilian","","303.4","298.9","4159"
"135288","occ","","F","11309","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135289","occ","","F","11309","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135290","occ","","F","11309","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135291","occ","","F","11309","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135292","occ","","F","11309","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135295","occ","","","11309","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135311","occ","","F","11310","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135312","occ","","F","11310","Apiculatisporites","genus","286068","Virgilian","","303.4","298.9","4159"
"135313","occ","","F","11310","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135314","occ","","F","11310","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135315","occ","","F","11310","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135316","occ","","F","11310","Microreticulatisporites","genus","286217","Virgilian","","303.4","298.9","4159"
"135317","occ","","F","11310","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135318","occ","","F","11310","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135319","occ","","F","11310","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135320","occ","","F","11310","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135321","occ","","F","11310","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135322","occ","","F","11310","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135323","occ","","F","11310","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135325","occ","","","11310","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135341","occ","","","11310","Tracheophyta","superphylum","55150","Virgilian","","303.4","298.9","4159"
"135347","occ","","","11310","Tracheophyta","superphylum","55150","Virgilian","","303.4","298.9","4159"
"135352","occ","","F","11311","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135353","occ","","F","11311","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135354","occ","","F","11311","Apiculatisporites","genus","286068","Virgilian","","303.4","298.9","4159"
"135355","occ","","F","11311","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135356","occ","","F","11311","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135357","occ","","F","11311","Microreticulatisporites","genus","286217","Virgilian","","303.4","298.9","4159"
"135358","occ","","F","11311","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135359","occ","","F","11311","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135360","occ","","F","11311","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135361","occ","","","11311","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135383","occ","","F","11312","Apiculatisporites","genus","286068","Virgilian","","303.4","298.9","4159"
"135384","occ","","F","11312","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135385","occ","","F","11312","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135386","occ","","F","11312","Microreticulatisporites","genus","286217","Virgilian","","303.4","298.9","4159"
"135387","occ","","F","11312","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135388","occ","","F","11312","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135391","occ","","","11312","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135402","occ","","","11312","Tracheophyta","superphylum","55150","Virgilian","","303.4","298.9","4159"
"135407","occ","","","11313","Cyclogranisporites","genus","261034","Virgilian","","303.4","298.9","4159"
"135408","occ","","","11313","Cyclogranisporites","genus","261034","Virgilian","","303.4","298.9","4159"
"135410","occ","","","11313","Acanthotriletes","genus","323716","Virgilian","","303.4","298.9","4159"
"135411","occ","","F","11313","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135412","occ","","F","11313","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135413","occ","","F","11313","Apiculatisporites","genus","286068","Virgilian","","303.4","298.9","4159"
"135414","occ","","F","11313","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135415","occ","","F","11313","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135416","occ","","F","11313","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135417","occ","","F","11313","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135418","occ","","F","11313","Microreticulatisporites","genus","286217","Virgilian","","303.4","298.9","4159"
"135419","occ","","F","11313","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135420","occ","","F","11313","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135422","occ","","F","11313","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135423","occ","","F","11313","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135424","occ","","F","11313","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135425","occ","","F","11313","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135426","occ","","F","11313","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135427","occ","","F","11313","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135431","occ","","","11313","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135441","occ","","","11313","Tracheophyta","superphylum","55150","Virgilian","","303.4","298.9","4159"
"135447","occ","","","11313","Tracheophyta","superphylum","55150","Virgilian","","303.4","298.9","4159"
"135451","occ","","","11314","Cyclogranisporites","genus","261034","Virgilian","","303.4","298.9","4159"
"135452","occ","","F","11314","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135453","occ","","F","11314","Laevigatosporites","genus","250523","Virgilian","","303.4","298.9","4159"
"135454","occ","","F","11314","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135455","occ","","F","11314","Verrucosisporites","genus","264495","Virgilian","","303.4","298.9","4159"
"135456","occ","","F","11314","Convolutispora","genus","276753","Virgilian","","303.4","298.9","4159"
"135457","occ","","F","11314","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135458","occ","","F","11314","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135459","occ","","F","11314","Deltoidospora","genus","252475","Virgilian","","303.4","298.9","4159"
"135460","occ","","F","11314","Granulatisporites","genus","276806","Virgilian","","303.4","298.9","4159"
"135465","occ","","","11314","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135466","occ","","","11314","Calamospora","genus","278073","Virgilian","","303.4","298.9","4159"
"135487","occ","","","11318","Alnus","genus","54588","Lostcabinian","","55.8","50.3","4163"
"135488","occ","","","11318","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163"
"135522","occ","","","11319","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135523","occ","","","11319","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135524","occ","","","11319","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163"
"135525","occ","","","11323","Sigillaria","genus","157272","Virgilian","","303.4","298.9","4164"
"135526","occ","","","11323","Pteropsida","class","55867","Virgilian","","303.4","298.9","4164"
"135527","occ","","F","11323","Calamites","genus","125728","Virgilian","","303.4","298.9","4164"
"135531","occ","","","11323","Asterophyllites","genus","125726","Virgilian","","303.4","298.9","4164"
"135532","occ","","","11323","Calamostachys","genus","125732","Virgilian","","303.4","298.9","4164"
"135533","occ","","","11323","Calamostachys","genus","125732","Virgilian","","303.4","298.9","4164"
"135534","occ","","F","11323","Pecopteris","genus","157283","Virgilian","","303.4","298.9","4164"
"135538","occ","","F","11323","Pecopteris","genus","157283","Virgilian","","303.4","298.9","4164"
"135539","occ","","F","11323","Neuropteris","genus","157275","Virgilian","","303.4","298.9","4164"
"135540","occ","","F","11323","Neuropteris","genus","157275","Virgilian","","303.4","298.9","4164"
"135541","occ","","","11323","Pteropsida","class","55867","Virgilian","","303.4","298.9","4164"
"135542","occ","","F","11323","Neuropteris","genus","157275","Virgilian","","303.4","298.9","4164"
"135543","occ","","F","11323","Neuropteris","genus","157275","Virgilian","","303.4","298.9","4164"
"135544","occ","","","11323","Cyclopteris","genus","125742","Virgilian","","303.4","298.9","4164"
"135545","occ","","","11323","Trigonocarpus","genus","125747","Virgilian","","303.4","298.9","4164"
"135546","occ","","F","11323","Neuropteris","genus","157275","Virgilian","","303.4","298.9","4164"
"135548","occ","","","11323","Pteropsida","class","55867","Virgilian","","303.4","298.9","4164"
"135549","occ","","F","11323","Samaropsis","genus","157263","Virgilian","","303.4","298.9","4164"
"135551","occ","","F","11323","Cordaites","genus","125753","Virgilian","","303.4","298.9","4164"
"135558","occ","","","11323","Pteropsida","class","55867","Virgilian","","303.4","298.9","4164"
"135559","occ","","","11323","Pteropsida","class","55867","Virgilian","","303.4","298.9","4164"
"135560","occ","","","11323","Pteropsida","class","55867","Virgilian","","303.4","298.9","4164"
"135561","occ","","","11323","Pteropsida","class","55867","Virgilian","","303.4","298.9","4164"
"135562","occ","","","11323","Asterophyllites","genus","125726","Virgilian","","303.4","298.9","4164"
"135634","occ","","","11319","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163"
"135635","occ","","","11319","Zingiberopsis isonervosa","species","55282","Lostcabinian","","55.8","50.3","4163"
"135636","occ","","","11324","Dalbergia","genus","54651","Lostcabinian","","55.8","50.3","4163"
"135637","occ","","","11324","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135638","occ","","","11324","Monocotyledoneae","subclass","55352","Lostcabinian","","55.8","50.3","4163"
"135639","occ","","","11324","Platanus","genus","53335","Lostcabinian","","55.8","50.3","4163"
"135641","occ","","","11325","Platanus","genus","53335","Lostcabinian","","55.8","50.3","4163"
"135643","occ","","","11326","Alismataceae","family","55790","Lostcabinian","","55.8","50.3","4163"
"135645","occ","","","11326","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163"
"135646","occ","","","11326","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163"
"135647","occ","","F","11326","Thelypteris","genus","258656","Lostcabinian","","55.8","50.3","4163"
"135649","occ","","","11327","Alnus","genus","54588","Lostcabinian","","55.8","50.3","4163"
"135650","occ","","","11327","Averrhoites affinis","species","55315","Lostcabinian","","55.8","50.3","4163"
"135652","occ","","","11327","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135653","occ","","","11327","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135654","occ","","","11327","Dombeya novimundi","species","55499","Lostcabinian","","55.8","50.3","4163"
"135655","occ","","","11327","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163"
"135656","occ","","","11327","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163"
"135657","occ","","","11327","Polypodiales","order","196333","Lostcabinian","","55.8","50.3","4163"
"135658","occ","","F","11327","Thelypteris","genus","258656","Lostcabinian","","55.8","50.3","4163"
"135660","occ","","","11328","Alnus","genus","54588","Lostcabinian","","55.8","50.3","4163"
"135661","occ","","","11328","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135663","occ","","","11328","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163"
"135664","occ","","F","11328","Thelypteris","genus","258656","Lostcabinian","","55.8","50.3","4163"
"135665","occ","","","11329","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135666","occ","","","11329","Polypodiales","order","196333","Lostcabinian","","55.8","50.3","4163"
"135667","occ","","","11330","Typha","genus","252000","Lostcabinian","","55.8","50.3","4163"
"135668","occ","","","11330","Alnus","genus","54588","Lostcabinian","","55.8","50.3","4163"
"135669","occ","","","11330","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135670","occ","","","11330","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163"
"135671","occ","","","11330","Polypodiales","order","196333","Lostcabinian","","55.8","50.3","4163"
"135672","occ","","","11331","Ampelopsis acerifolia","species","55497","Tiffanian","","61.7","56.8","4163"
"135673","occ","","","11331","Cercidiphyllum genetrix","species","55303","Tiffanian","","61.7","56.8","4163"
"135674","occ","","","11331","Fraxinus","genus","54727","Tiffanian","","61.7","56.8","4163"
"135676","occ","","","11331","Pterocarya","genus","55292","Tiffanian","","61.7","56.8","4163"
"135677","occ","","","11331","Ulmus","genus","55984","Tiffanian","","61.7","56.8","4163"
"135678","occ","","","11331","Viburnum antiquum","species","55507","Tiffanian","","61.7","56.8","4163"
"135679","occ","","","11331","Viburnum","genus","53304","Tiffanian","","61.7","56.8","4163"
"135680","occ","","","11332","Cercidiphyllum genetrix","species","55303","Torrejonian","","63.3","61.7","4163"
"135681","occ","","","11332","Equisetum","genus","55064","Torrejonian","","63.3","61.7","4163"
"135682","occ","","","11332","Rhamnus","genus","54702","Torrejonian","","63.3","61.7","4163"
"135683","occ","","","11333","Ampelopsis acerifolia","species","55497","Tiffanian","","61.7","56.8","4163"
"135684","occ","","","11333","Carya antiquorum","species","55288","Tiffanian","","61.7","56.8","4163"
"135685","occ","","","11333","Cercidiphyllum genetrix","species","55303","Tiffanian","","61.7","56.8","4163"
"135686","occ","","","11333","Crataegus","genus","157341","Tiffanian","","61.7","56.8","4163"
"135688","occ","","","11333","Glyptostrobus europaeus","species","55252","Tiffanian","","61.7","56.8","4163"
"135689","occ","","","11333","Metasequoia occidentalis","species","55254","Tiffanian","","61.7","56.8","4163"
"135690","occ","","","11333","Viburnum antiquum","species","55507","Tiffanian","","61.7","56.8","4163"
"135691","occ","","","11333","Viburnum","genus","53304","Tiffanian","","61.7","56.8","4163"
"135693","occ","","","11334","Cercidiphyllum genetrix","species","55303","Puercan","","66","63.3","4163"
"135694","occ","","","11334","Ficus","genus","53873","Puercan","","66","63.3","4163"
"135696","occ","","","11334","Metasequoia occidentalis","species","55254","Puercan","","66","63.3","4163"
"135698","occ","","","11334","Vitis","genus","157350","Puercan","","66","63.3","4163"
"135699","occ","","","11335","Carya antiquorum","species","55288","Puercan","","66","63.3","4163"
"135700","occ","","","11335","Ficus","genus","53873","Puercan","","66","63.3","4163"
"135701","occ","","","11335","Metasequoia occidentalis","species","55254","Puercan","","66","63.3","4163"
"135702","occ","","","11335","Nelumbo","genus","55300","Puercan","","66","63.3","4163"
"135703","occ","","","11335","Taxodium","genus","55063","Puercan","","66","63.3","4163"
"135704","occ","","","11336","Typha","genus","252000","Graybullian","","55.8","50.3","4163"
"135706","occ","","","11336","Alnus","genus","54588","Graybullian","","55.8","50.3","4163"
"135707","occ","","","11336","Ampelopsis acerifolia","species","55497","Graybullian","","55.8","50.3","4163"
"135708","occ","","","11336","Averrhoites affinis","species","55315","Graybullian","","55.8","50.3","4163"
"135709","occ","","","11336","Betulaceae","family","54589","Graybullian","","55.8","50.3","4163"
"135710","occ","","","11336","Cercidiphyllum genetrix","species","55303","Graybullian","","55.8","50.3","4163"
"135711","occ","","","11336","Magnoliopsida","class","55217","Graybullian","","55.8","50.3","4163"
"135712","occ","","","11336","Magnoliopsida","class","55217","Graybullian","","55.8","50.3","4163"
"135713","occ","","","11336","Equisetum","genus","55064","Graybullian","","55.8","50.3","4163"
"135714","occ","","","11336","Glyptostrobus europaeus","species","55252","Graybullian","","55.8","50.3","4163"
"135715","occ","","","11336","Hamamelidaceae","family","52846","Graybullian","","55.8","50.3","4163"
"135716","occ","","","11336","Juglandaceae","family","54584","Graybullian","","55.8","50.3","4163"
"135717","occ","","","11336","Meliosma longifolia","species","55322","Graybullian","","55.8","50.3","4163"
"135718","occ","","","11336","Menispermites parvareolatus","species","55305","Graybullian","","55.8","50.3","4163"
"135719","occ","","","11336","Monocotyledoneae","subclass","55352","Graybullian","","55.8","50.3","4163"
"135720","occ","","","11336","Platanus","genus","53335","Graybullian","","55.8","50.3","4163"
"135722","occ","","","11336","Populus","genus","55955","Graybullian","","55.8","50.3","4163"
"135723","occ","","","11336","Zingiberopsis isonervosa","species","55282","Graybullian","","55.8","50.3","4163"
"135724","occ","","","11337","Alnus","genus","54588","Graybullian","","55.8","50.3","4163"
"135725","occ","","","11337","Ampelopsis acerifolia","species","55497","Graybullian","","55.8","50.3","4163"
"135726","occ","","","11337","Averrhoites affinis","species","55315","Graybullian","","55.8","50.3","4163"
"135727","occ","","","11337","Magnoliopsida","class","55217","Graybullian","","55.8","50.3","4163"
"135728","occ","","","11337","Equisetum","genus","55064","Graybullian","","55.8","50.3","4163"
"135729","occ","","","11337","Glyptostrobus europaeus","species","55252","Graybullian","","55.8","50.3","4163"
"135730","occ","","","11337","Hamamelidaceae","family","52846","Graybullian","","55.8","50.3","4163"
"135731","occ","","","11337","Juglandaceae","family","54584","Graybullian","","55.8","50.3","4163"
"135732","occ","","","11337","Meliosma longifolia","species","55322","Graybullian","","55.8","50.3","4163"
"135733","occ","","","11337","Menispermites parvareolatus","species","55305","Graybullian","","55.8","50.3","4163"
"135735","occ","","","11337","Populus","genus","55955","Graybullian","","55.8","50.3","4163"
"135736","occ","","","11337","Zingiberopsis isonervosa","species","55282","Graybullian","","55.8","50.3","4163"
"135738","occ","","","11338","Alnus","genus","54588","Graybullian","","55.8","50.3","4163"
"135739","occ","","","11338","Ampelopsis acerifolia","species","55497","Graybullian","","55.8","50.3","4163"
"135740","occ","","","11338","Averrhoites affinis","species","55315","Graybullian","","55.8","50.3","4163"
"135741","occ","","","11338","Magnoliopsida","class","55217","Graybullian","","55.8","50.3","4163"
"135742","occ","","","11338","Magnoliopsida","class","55217","Graybullian","","55.8","50.3","4163"
"135743","occ","","","11338","Glyptostrobus europaeus","species","55252","Graybullian","","55.8","50.3","4163"
"135744","occ","","","11338","Hamamelidaceae","family","52846","Graybullian","","55.8","50.3","4163"
"135745","occ","","","11338","Juglandaceae","family","54584","Graybullian","","55.8","50.3","4163"
"135746","occ","","","11338","Meliosma longifolia","species","55322","Graybullian","","55.8","50.3","4163"
"135747","occ","","","11338","Menispermites parvareolatus","species","55305","Graybullian","","55.8","50.3","4163"
"135748","occ","","","11338","Platanus","genus","53335","Graybullian","","55.8","50.3","4163"
"135750","occ","","","11338","Populus","genus","55955","Graybullian","","55.8","50.3","4163"
"135751","occ","","","11338","Salvinia preauriculata","species","55249","Graybullian","","55.8","50.3","4163"
"135752","occ","","","11338","Zingiberopsis isonervosa","species","55282","Graybullian","","55.8","50.3","4163"
"135753","occ","","","11339","Alnus","genus","54588","Graybullian","","55.8","50.3","4163"
"135754","occ","","","11339","Averrhoites affinis","species","55315","Graybullian","","55.8","50.3","4163"
"135755","occ","","","11339","Equisetum","genus","55064","Graybullian","","55.8","50.3","4163"
"135756","occ","","","11339","Glyptostrobus europaeus","species","55252","Graybullian","","55.8","50.3","4163"
"135757","occ","","","11339","Menispermites parvareolatus","species","55305","Graybullian","","55.8","50.3","4163"
"135758","occ","","","11339","Monocotyledoneae","subclass","55352","Graybullian","","55.8","50.3","4163"
"135759","occ","","","11339","Zingiberopsis isonervosa","species","55282","Graybullian","","55.8","50.3","4163"
"135760","occ","","","11340","Alismataceae","family","55790","Puercan","","66","63.3","4163"
"135761","occ","","","11340","Carya antiquorum","species","55288","Puercan","","66","63.3","4163"
"135762","occ","","","11340","Cercidiphyllum genetrix","species","55303","Puercan","","66","63.3","4163"
"135764","occ","","","11340","Glyptostrobus europaeus","species","55252","Puercan","","66","63.3","4163"
"135765","occ","","","11340","Monocotyledoneae","subclass","55352","Puercan","","66","63.3","4163"
"135767","occ","","","11340","Populus","genus","55955","Puercan","","66","63.3","4163"
"135768","occ","","","11341","Ampelopsis acerifolia","species","55497","Tiffanian","","61.7","56.8","4163"
"135769","occ","","","11341","Cercidiphyllum genetrix","species","55303","Tiffanian","","61.7","56.8","4163"
"135771","occ","","","11341","Glyptostrobus europaeus","species","55252","Tiffanian","","61.7","56.8","4163"
"135772","occ","","","11341","Magnoliopsida","class","55217","Tiffanian","","61.7","56.8","4163"
"135773","occ","","","11341","Magnolia","genus","54614","Tiffanian","","61.7","56.8","4163"
"135774","occ","","","11341","Meliosma","genus","54697","Tiffanian","","61.7","56.8","4163"
"135775","occ","","","11341","Metasequoia occidentalis","species","55254","Tiffanian","","61.7","56.8","4163"
"135778","occ","","","11341","Viburnum","genus","53304","Tiffanian","","61.7","56.8","4163"
"135780","occ","","","11342","Alnus","genus","54588","Graybullian","","55.8","50.3","4163"
"135781","occ","","","11342","Averrhoites affinis","species","55315","Graybullian","","55.8","50.3","4163"
"135782","occ","","","11342","Equisetum","genus","55064","Graybullian","","55.8","50.3","4163"
"135783","occ","","","11342","Glyptostrobus europaeus","species","55252","Graybullian","","55.8","50.3","4163"
"135784","occ","","","11342","Hamamelidaceae","family","52846","Graybullian","","55.8","50.3","4163"
"135785","occ","","","11342","Lygodium kaulfussi","species","55241","Graybullian","","55.8","50.3","4163"
"135786","occ","","","11342","Persites argutus","species","55307","Graybullian","","55.8","50.3","4163"
"135787","occ","","","11342","Zingiberopsis isonervosa","species","55282","Graybullian","","55.8","50.3","4163"
"135792","occ","","","11343","Typha","genus","252000","Graybullian","","55.8","50.3","4163"
"135794","occ","","","11343","Alnus","genus","54588","Graybullian","","55.8","50.3","4163"
"135795","occ","","","11343","Averrhoites affinis","species","55315","Graybullian","","55.8","50.3","4163"
"135796","occ","","","11343","Equisetum","genus","55064","Graybullian","","55.8","50.3","4163"
"135797","occ","","","11343","Glyptostrobus europaeus","species","55252","Graybullian","","55.8","50.3","4163"
"135798","occ","","","11343","Monocotyledoneae","subclass","55352","Graybullian","","55.8","50.3","4163"
"135799","occ","","","11343","Zingiberopsis isonervosa","species","55282","Graybullian","","55.8","50.3","4163"
"135805","occ","","","11344","Alnus","genus","54588","Lostcabinian","","55.8","50.3","4163"
"135807","occ","","","11344","Dalbergia","genus","54651","Lostcabinian","","55.8","50.3","4163"
"135808","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135810","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135811","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135812","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135813","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135814","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135815","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135816","occ","","","11344","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135817","occ","","","11344","Dombeya novimundi","species","55499","Lostcabinian","","55.8","50.3","4163"
"135818","occ","","","11344","Glyptostrobus europaeus","species","55252","Lostcabinian","","55.8","50.3","4163"
"135819","occ","","","11344","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163"
"135820","occ","","","11344","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163"
"135822","occ","","","11344","Polypodiales","order","196333","Lostcabinian","","55.8","50.3","4163"
"135823","occ","","","11344","Zingiberopsis isonervosa","species","55282","Lostcabinian","","55.8","50.3","4163"
"135824","occ","","","11345","Alnus","genus","54588","Lostcabinian","","55.8","50.3","4163"
"135826","occ","","","11345","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135827","occ","","","11345","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135828","occ","","","11345","Magnoliopsida","class","55217","Lostcabinian","","55.8","50.3","4163"
"135829","occ","","","11345","Dombeya novimundi","species","55499","Lostcabinian","","55.8","50.3","4163"
"135830","occ","","","11345","Glyptostrobus europaeus","species","55252","Lostcabinian","","55.8","50.3","4163"
"135831","occ","","","11345","Lygodium kaulfussi","species","55241","Lostcabinian","","55.8","50.3","4163"
"135832","occ","","","11345","Platycarya","genus","55290","Lostcabinian","","55.8","50.3","4163"
