"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=plantae&cc=EUR,NOA&show=acconly"
"Access Time","Mon 2017-03-13 02:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","plantae"
"","cc","EUR,NOA"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.63"
"Records Found","37803"
"Records Returned","37803"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"128655","occ","","","10626","Psilophyton","genus","55173","Early Devonian","","419.2","393.3","3931"
"128656","occ","","","10626","Psilophyton","genus","55173","Early Devonian","","419.2","393.3","3931"
"128804","occ","","","10634","Plantae","kingdom","54311","Silurian","Ludfordian","443.4","423","3939"
"128809","occ","","","10594","Plantae","kingdom","54311","Homerian","","430.5","427.4","3940"
"128819","occ","","","10594","Plantae","kingdom","54311","Homerian","","430.5","427.4","3940"
"128823","occ","","","10636","Zosterophyllum","genus","55154","Pragian","","410.8","407.6","3920"
"128932","occ","","","10642","Neocalamites","genus","288242","Late Triassic","","237","201.3","3945"
"128933","occ","","F","10642","Brachyphyllum","genus","56328","Late Triassic","","237","201.3","3945"
"128934","occ","","","10642","Masculostrobus","genus","288228","Late Triassic","","237","201.3","3945"
"128937","occ","","F","10642","Samaropsis","genus","157263","Late Triassic","","237","201.3","3945"
"128938","occ","","F","10642","Samaropsis","genus","157263","Late Triassic","","237","201.3","3945"
"128939","occ","","F","10642","Samaropsis","genus","157263","Late Triassic","","237","201.3","3945"
"128940","occ","","F","10642","Samaropsis","genus","157263","Late Triassic","","237","201.3","3945"
"128941","occ","","F","10642","Samaropsis","genus","157263","Late Triassic","","237","201.3","3945"
"128946","occ","","","10644","Lepidophloios","genus","125634","Hastarian","Ivorian","358.9","345.3","3947"
"128947","occ","","F","10644","Lepidodendron","genus","125629","Hastarian","Ivorian","358.9","345.3","3947"
"128949","occ","","","10644","Stigmaria","genus","157273","Hastarian","Ivorian","358.9","345.3","3947"
"128965","occ","","","10645","Calamopitys","genus","157158","Hastarian","Asbian","358.9","336","3947"
"128971","occ","","","10646","Sphenophyllum","genus","249938","Asbian","","339.4","336","3947"
"128973","occ","","F","10646","Lepidodendron","genus","125629","Asbian","","339.4","336","3947"
"128980","occ","","","10646","Lepidophloios","genus","125634","Asbian","","339.4","336","3947"
"128981","occ","","","10646","Lepidostrobus","genus","125642","Asbian","","339.4","336","3947"
"128982","occ","","","10646","Lepidostrobus","genus","125642","Asbian","","339.4","336","3947"
"128985","occ","","","10646","Stigmaria","genus","157273","Asbian","","339.4","336","3947"
"128986","occ","","","10646","Stigmaria","genus","157273","Asbian","","339.4","336","3947"
"129052","occ","","F","10648","Lepidodendron","genus","125629","Mississippian","","358.9","323.2","3947"
"129053","occ","","","10648","Stigmaria","genus","157273","Mississippian","","358.9","323.2","3947"
"129058","occ","","","10648","Stenomyelon","genus","157162","Mississippian","","358.9","323.2","3947"
"129066","occ","","","10648","Eosperma","genus","157161","Mississippian","","358.9","323.2","3947"
"129152","occ","","F","10652","Lepidodendron","genus","125629","Tournaisian","Visean","358.9","330.9","4568"
"129153","occ","","","10652","Cladoxylon","genus","249918","Tournaisian","Visean","358.9","330.9","3947"
"129156","occ","","","10652","Stenomyelon","genus","157162","Tournaisian","Visean","358.9","330.9","3947"
"129163","occ","","","10652","Lyrasperma","genus","157159","Tournaisian","Visean","358.9","330.9","3947"
"129169","occ","","","10655","Cladoxylon","genus","249918","Mississippian","","358.9","323.2","3947"
"129171","occ","","","10655","Stenomyelon","genus","157162","Mississippian","","358.9","323.2","3947"
"129173","occ","","","10655","Lyrasperma","genus","157159","Mississippian","","358.9","323.2","4578"
"129177","occ","","F","10656","Lepidodendron","genus","125629","Tournaisian","Visean","358.9","330.9","4568"
"129179","occ","","","10656","Cladoxylon","genus","249918","Tournaisian","Visean","358.9","330.9","3947"
"129180","occ","","","10656","Hierogramma","genus","249921","Tournaisian","Visean","358.9","330.9","3947"
"129187","occ","","","10656","Stenomyelon","genus","157162","Tournaisian","Visean","358.9","330.9","3947"
"129188","occ","","","10656","Kalymma","genus","157163","Tournaisian","Visean","358.9","330.9","3947"
"129196","occ","","","10656","Lyrasperma","genus","157159","Tournaisian","Visean","358.9","330.9","4578"
"129198","occ","","F","10657","Lepidodendron","genus","125629","Tournaisian","","358.9","346.7","4568"
"129199","occ","","","10657","Stigmaria","genus","157273","Tournaisian","","358.9","346.7","3947"
"129203","occ","","","10657","Cladoxylon","genus","249918","Tournaisian","","358.9","346.7","3947"
"129204","occ","","","10657","Cladoxylon","genus","249918","Tournaisian","","358.9","346.7","3947"
"129205","occ","","","10657","Hierogramma","genus","249921","Tournaisian","","358.9","346.7","3947"
"129225","occ","","","10657","Eosperma","genus","157161","Tournaisian","","358.9","346.7","3947"
"129230","occ","","","10657","Mitrospermum","genus","157262","Tournaisian","","358.9","346.7","3947"
"129235","occ","","","10657","Kalymma","genus","157163","Tournaisian","","358.9","346.7","3947"
"129236","occ","","","10657","Stenomyelon","genus","157162","Tournaisian","","358.9","346.7","3947"
"129237","occ","","","10657","Stenomyelon","genus","157162","Tournaisian","","358.9","346.7","3947"
"129239","occ","","","10657","Lyrasperma","genus","157159","Tournaisian","","358.9","346.7","4578"
"129240","occ","","F","10658","Lepidodendron","genus","125629","Mississippian","","358.9","323.2","3947"
"129246","occ","","F","10659","Lepidodendron","genus","125629","Mississippian","","358.9","323.2","3947"
"129247","occ","","F","10659","Lepidodendron","genus","125629","Mississippian","","358.9","323.2","3947"
"129248","occ","","","10659","Lepidostrobus","genus","125642","Mississippian","","358.9","323.2","3947"
"129249","occ","","","10659","Syringodendron","genus","125650","Mississippian","","358.9","323.2","3947"
"129250","occ","","F","10659","Lepidodendron","genus","125629","Mississippian","","358.9","323.2","3947"
"129258","occ","","F","10659","Pecopteris","genus","157283","Mississippian","","358.9","323.2","3947"
"129262","occ","","F","10660","Lepidodendron","genus","125629","Mississippian","","358.9","323.2","3947"
"129263","occ","","","10660","Lepidostrobus","genus","125642","Mississippian","","358.9","323.2","3947"
"129264","occ","","","10660","Lepidophylloides","genus","125640","Mississippian","","358.9","323.2","3947"
"129278","occ","","","10663","Sphenophyllum","genus","249938","Mississippian","","358.9","323.2","3947"
"129279","occ","","","10663","Lepidostrobus","genus","125642","Mississippian","","358.9","323.2","3947"
"129280","occ","","","10663","Lepidostrobus","genus","125642","Mississippian","","358.9","323.2","3947"
"129281","occ","","","10663","Cladoxylon","genus","249918","Mississippian","","358.9","323.2","3947"
"129283","occ","","","10663","Cladoxylon","genus","249918","Mississippian","","358.9","323.2","3947"
"129287","occ","","","10663","Calamopitys","genus","157158","Mississippian","","358.9","323.2","3947"
"129288","occ","","","10663","Calamopitys","genus","157158","Mississippian","","358.9","323.2","3947"
"129289","occ","","","10663","Calamopitys","genus","157158","Mississippian","","358.9","323.2","3947"
"129290","occ","","","10663","Kalymma","genus","157163","Mississippian","","358.9","323.2","3947"
"129291","occ","","","10663","Kalymma","genus","157163","Mississippian","","358.9","323.2","3947"
"129296","occ","","","10663","Stenomyelon","genus","157162","Mississippian","","358.9","323.2","3947"
"129371","occ","","","10671","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129381","occ","","","10671","Eosperma","genus","157161","Tournaisian","","358.9","346.7","3954"
"129384","occ","","","10671","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129386","occ","","","10672","Pteropsida","class","55867","Tournaisian","","358.9","346.7","3954"
"129387","occ","","","10672","Pteropsida","class","55867","Tournaisian","","358.9","346.7","3954"
"129388","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129389","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129390","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129391","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129392","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129393","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129394","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129395","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129396","occ","","","10672","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129398","occ","","","10672","Plantae","kingdom","54311","Tournaisian","","358.9","346.7","3954"
"129399","occ","","","10673","Lycopsida","class","54754","Tournaisian","","358.9","346.7","3954"
"129401","occ","","","10673","Lycopsida","class","54754","Tournaisian","","358.9","346.7","3954"
"129406","occ","","","10673","Cladoxylon","genus","249918","Tournaisian","","358.9","346.7","3954"
"129411","occ","","","10673","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129412","occ","","","10673","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129420","occ","","","10673","Eosperma","genus","157161","Tournaisian","","358.9","346.7","3954"
"129422","occ","","","10673","Deltasperma","genus","157160","Tournaisian","","358.9","346.7","3954"
"129425","occ","","","10673","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129427","occ","","","10673","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129428","occ","","","10673","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129429","occ","","","10673","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129430","occ","","","10673","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129431","occ","","","10674","Lycopsida","class","54754","Tournaisian","","358.9","346.7","3954"
"129433","occ","","","10674","Lycopsida","class","54754","Tournaisian","","358.9","346.7","3954"
"129435","occ","","","10674","Cladoxylon","genus","249918","Tournaisian","","358.9","346.7","3954"
"129440","occ","","","10674","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129448","occ","","","10674","Eosperma","genus","157161","Tournaisian","","358.9","346.7","3954"
"129449","occ","","","10674","Deltasperma","genus","157160","Tournaisian","","358.9","346.7","3954"
"129452","occ","","","10674","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129453","occ","","","10674","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129454","occ","","","10674","Spermatophyta","phylum","55350","Tournaisian","","358.9","346.7","3955"
"129455","occ","","","10674","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3955"
"129456","occ","","","10674","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3955"
"129459","occ","","","10675","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129463","occ","","","10676","Pteropsida","class","55867","Tournaisian","","358.9","346.7","3954"
"129464","occ","","","10676","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129465","occ","","","10676","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129466","occ","","","10676","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129467","occ","","","10676","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129468","occ","","","10676","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129473","occ","","","10677","Gymnospermopsida","class","55926","Tournaisian","","358.9","346.7","3954"
"129477","occ","","","10677","Eosperma","genus","157161","Tournaisian","","358.9","346.7","3954"
"129483","occ","","","10678","Eosperma","genus","157161","Mississippian","","358.9","323.2","3954"
"129495","occ","","","10679","Zosterophyllum","genus","55154","Lochkovian","","419.2","410.8","3915"
"129743","occ","","","10705","Zosterophyllum","genus","55154","Lochkovian","","419.2","410.8","3978"
"129809","occ","","","10706","Plantae","kingdom","54311","Pridoli","","423","419.2","3981"
"129813","occ","","","10719","Zosterophyllum","genus","55154","Emsian","","407.6","393.3","3983"
"129850","occ","","","10726","Lepidophloios","genus","125634","Westphalian D","","311.45","306.95","3946"
"129852","occ","","F","10726","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129853","occ","","F","10726","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129854","occ","","F","10726","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129856","occ","","","10726","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129857","occ","","","10726","Spermatophyta","phylum","55350","Westphalian D","","311.45","306.95","3946"
"129858","occ","","","10727","Sphenophyllum","genus","249938","Westphalian D","","311.45","306.95","3946"
"129861","occ","","","10728","Sigillaria","genus","157272","Westphalian D","","311.45","306.95","3946"
"129862","occ","","F","10728","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129863","occ","","F","10728","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129864","occ","","","10728","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129870","occ","","F","10729","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129871","occ","","F","10729","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129872","occ","","F","10729","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129873","occ","","F","10729","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129874","occ","","","10729","Sphenophyllum","genus","249938","Westphalian D","","311.45","306.95","3946"
"129876","occ","","","10730","Asterophyllites","genus","125726","Westphalian D","","311.45","306.95","3946"
"129878","occ","","","10730","Sphenophyllum","genus","249938","Westphalian D","","311.45","306.95","3946"
"129880","occ","","F","10730","Pecopteris","genus","157283","Westphalian D","","311.45","306.95","3946"
"129881","occ","","","10730","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129883","occ","","","10731","Sigillaria","genus","157272","Westphalian D","","311.45","306.95","3946"
"129884","occ","","","10731","Lepidodendron aculeatum","species","125630","Westphalian D","","311.45","306.95","3946"
"129885","occ","","F","10731","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129887","occ","","","10732","Lepidodendron aculeatum","species","125630","Westphalian D","","311.45","306.95","3946"
"129888","occ","","F","10732","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129889","occ","","F","10732","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129890","occ","","F","10732","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129891","occ","","","10732","Mariopteris","genus","157276","Westphalian D","","311.45","306.95","3946"
"129894","occ","","F","10732","Pecopteris","genus","157283","Westphalian D","","311.45","306.95","3946"
"129895","occ","","","10732","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129899","occ","","F","10734","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129900","occ","","F","10734","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129901","occ","","","10734","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129902","occ","","","10734","Stigmaria","genus","157273","Westphalian D","","311.45","306.95","3946"
"129903","occ","","F","10735","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129904","occ","","F","10735","Pecopteris","genus","157283","Westphalian D","","311.45","306.95","3946"
"129905","occ","","","10735","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129906","occ","","","10735","Spermatophyta","phylum","55350","Westphalian D","","311.45","306.95","3946"
"129910","occ","","F","10736","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129911","occ","","F","10736","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129913","occ","","","10736","Sphenophyllum","genus","249938","Westphalian D","","311.45","306.95","3946"
"129915","occ","","F","10736","Pecopteris","genus","157283","Westphalian D","","311.45","306.95","3946"
"129916","occ","","","10736","Artisia","genus","125751","Westphalian D","","311.45","306.95","3946"
"129917","occ","","","10736","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129920","occ","","F","10737","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129921","occ","","F","10737","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129922","occ","","F","10737","Pecopteris","genus","157283","Westphalian D","","311.45","306.95","3946"
"129923","occ","","","10737","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129926","occ","","F","10738","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129927","occ","","F","10738","Neuropteris","genus","157275","Westphalian D","","311.45","306.95","3946"
"129930","occ","","","10738","Pteridophyta","phylum","54828","Westphalian D","","311.45","306.95","3946"
"129931","occ","","","10738","Spermatophyta","phylum","55350","Westphalian D","","311.45","306.95","3946"
"129976","occ","","F","10742","Deltoidospora","genus","252475","Desmoinesian","","313.8","305.9","3992"
"129977","occ","","F","10742","Deltoidospora","genus","252475","Desmoinesian","","313.8","305.9","3992"
"129978","occ","","","10742","Calamospora","genus","278073","Desmoinesian","","313.8","305.9","3992"
"129979","occ","","","10742","Calamospora","genus","278073","Desmoinesian","","313.8","305.9","3992"
"129980","occ","","F","10742","Granulatisporites","genus","276806","Desmoinesian","","313.8","305.9","3992"
"129981","occ","","","10742","Cyclogranisporites","genus","261034","Desmoinesian","","313.8","305.9","3992"
"129982","occ","","","10742","Cyclogranisporites","genus","261034","Desmoinesian","","313.8","305.9","3992"
"129983","occ","","","10742","Cyclogranisporites","genus","261034","Desmoinesian","","313.8","305.9","3992"
"129987","occ","","F","10742","Microreticulatisporites","genus","286217","Desmoinesian","","313.8","305.9","3992"
"130014","occ","","","10742","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130015","occ","","","10742","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130016","occ","","","10742","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130017","occ","","","10742","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130018","occ","","","10742","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130023","occ","","F","10742","Laevigatosporites","genus","250523","Desmoinesian","","313.8","305.9","3992"
"130024","occ","","F","10742","Laevigatosporites","genus","250523","Desmoinesian","","313.8","305.9","3992"
"130025","occ","","F","10742","Laevigatosporites","genus","250523","Desmoinesian","","313.8","305.9","3992"
"130026","occ","","F","10742","Laevigatosporites vulgaris","species","252493","Desmoinesian","","313.8","305.9","3992"
"130036","occ","","F","10743","Deltoidospora","genus","252475","Desmoinesian","","313.8","305.9","3992"
"130037","occ","","","10743","Calamospora","genus","278073","Desmoinesian","","313.8","305.9","3992"
"130038","occ","","","10743","Calamospora","genus","278073","Desmoinesian","","313.8","305.9","3992"
"130039","occ","","","10743","Cyclogranisporites","genus","261034","Desmoinesian","","313.8","305.9","3992"
"130040","occ","","","10743","Cyclogranisporites","genus","261034","Desmoinesian","","313.8","305.9","3992"
"130041","occ","","","10743","Cyclogranisporites","genus","261034","Desmoinesian","","313.8","305.9","3992"
"130042","occ","","","10743","Converrucosisporites","genus","276870","Desmoinesian","","313.8","305.9","3992"
"130044","occ","","F","10743","Apiculatasporites","genus","279388","Desmoinesian","","313.8","305.9","3992"
"130045","occ","","F","10743","Apiculatasporites","genus","279388","Desmoinesian","","313.8","305.9","3992"
"130046","occ","","F","10743","Apiculatasporites","genus","279388","Desmoinesian","","313.8","305.9","3992"
"130054","occ","","","10743","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130055","occ","","","10743","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130056","occ","","","10743","Lycospora","genus","277985","Desmoinesian","","313.8","305.9","3992"
"130059","occ","","F","10743","Laevigatosporites","genus","250523","Desmoinesian","","313.8","305.9","3992"
"130128","occ","","F","10750","Calamites","genus","125728","Carboniferous","Permian","358.9","252.17","3995"
"130129","occ","","F","10750","Calamites","genus","125728","Carboniferous","Permian","358.9","252.17","3995"
"130133","occ","","","10750","Asterophyllites","genus","125726","Carboniferous","Permian","358.9","252.17","3995"
"130134","occ","","","10750","Asterophyllites","genus","125726","Carboniferous","Permian","358.9","252.17","3995"
"130156","occ","","","10750","Sphenophyllum","genus","249938","Carboniferous","Permian","358.9","252.17","3995"
"130158","occ","","F","10750","Neuropteris","genus","157275","Carboniferous","Permian","358.9","252.17","3995"
"130159","occ","","F","10750","Neuropteris","genus","157275","Carboniferous","Permian","358.9","252.17","3995"
"130160","occ","","F","10750","Neuropteris","genus","157275","Carboniferous","Permian","358.9","252.17","3995"
"130161","occ","","F","10750","Neuropteris","genus","157275","Carboniferous","Permian","358.9","252.17","3995"
"130162","occ","","","10750","Cyclopteris","genus","125742","Carboniferous","Permian","358.9","252.17","3995"
"130163","occ","","","10750","Cyclopteris","genus","125742","Carboniferous","Permian","358.9","252.17","3995"
"130164","occ","","","10750","Cyclopteris","genus","125742","Carboniferous","Permian","358.9","252.17","3995"
"130165","occ","","F","10750","Pecopteris","genus","157283","Carboniferous","Permian","358.9","252.17","3995"
"130166","occ","","F","10750","Pecopteris","genus","157283","Carboniferous","Permian","358.9","252.17","3995"
"130167","occ","","F","10750","Pecopteris","genus","157283","Carboniferous","Permian","358.9","252.17","3995"
